state_name,district_name,disability,age_group,male,female,other,total
Karnataka,Chikkaballapura,Dwarfism,15-35,12,22,0,34
Karnataka,Chikkaballapura,Dwarfism,35-60,23,23,0,46
Karnataka,Chikkaballapura,Dwarfism,60-80,3,2,0,5
Karnataka,Chikkaballapura,Hearing Impairment,0-6,3,13,0,16
Karnataka,Chikkaballapura,Hearing Impairment,Jun-15,93,89,0,182
Karnataka,Chikkaballapura,Hearing Impairment,15-35,348,274,0,622
Karnataka,Chikkaballapura,Hearing Impairment,35-60,933,932,1,1866
Karnataka,Chikkaballapura,Hearing Impairment,60-80,474,222,1,697
Karnataka,Chikkaballapura,Hearing Impairment,80+,72,8,0,80
Karnataka,Chikkaballapura,Hemophilia,Jun-15,3,1,0,4
Karnataka,Chikkaballapura,Hemophilia,15-35,4,1,0,5
Karnataka,Chikkaballapura,Hemophilia,35-60,8,0,0,8
Karnataka,Chikkaballapura,Hemophilia,60-80,7,0,0,7
Karnataka,Chikkaballapura,Intellectual Disability,0-6,9,9,0,18
Karnataka,Chikkaballapura,Intellectual Disability,Jun-15,308,231,1,540
Karnataka,Chikkaballapura,Intellectual Disability,15-35,659,517,0,1176
Karnataka,Chikkaballapura,Intellectual Disability,35-60,376,357,0,733
Karnataka,Chikkaballapura,Intellectual Disability,60-80,47,27,0,74
Karnataka,Chikkaballapura,Intellectual Disability,80+,0,1,0,1
Karnataka,Chikkaballapura,Leprosy Cured,Jun-15,0,1,0,1
Karnataka,Chikkaballapura,Leprosy Cured,15-35,1,3,0,4
Karnataka,Chikkaballapura,Leprosy Cured,35-60,15,6,0,21
Karnataka,Chikkaballapura,Leprosy Cured,60-80,7,7,0,14
Karnataka,Chikkaballapura,Leprosy Cured,80+,2,1,0,3
Karnataka,Chikkaballapura,Locomotor Disability,0-6,18,11,0,29
Karnataka,Chikkaballapura,Locomotor Disability,Jun-15,204,116,0,320
Karnataka,Chikkaballapura,Locomotor Disability,15-35,1101,631,0,1732
Karnataka,Chikkaballapura,Locomotor Disability,35-60,4134,2154,1,6289
Karnataka,Chikkaballapura,Locomotor Disability,60-80,1640,477,0,2117
Karnataka,Chikkaballapura,Locomotor Disability,80+,129,19,0,148
Karnataka,Chikkaballapura,Low Vision,Jun-15,3,4,0,7
Karnataka,Chikkaballapura,Low Vision,15-35,17,14,0,31
Karnataka,Chikkaballapura,Low Vision,35-60,38,15,0,53
Karnataka,Chikkaballapura,Low Vision,60-80,12,5,0,17
Karnataka,Chikkaballapura,Low Vision,80+,1,1,0,2
Karnataka,Chikkaballapura,Mental Illness,Jun-15,28,7,0,35
Karnataka,Chikkaballapura,Mental Illness,15-35,98,90,0,188
Karnataka,Chikkaballapura,Mental Illness,35-60,132,142,0,274
Karnataka,Chikkaballapura,Mental Illness,60-80,19,30,0,49
Karnataka,Chikkaballapura,Mental Illness,80+,0,2,0,2
Karnataka,Chikkaballapura,Multiple Disabilities,0-6,2,4,0,6
Karnataka,Chikkaballapura,Multiple Disabilities,Jun-15,52,36,0,88
Karnataka,Chikkaballapura,Multiple Disabilities,15-35,121,73,0,194
Karnataka,Chikkaballapura,Multiple Disabilities,35-60,158,74,0,232
Karnataka,Chikkaballapura,Multiple Disabilities,60-80,57,15,0,72
Karnataka,Chikkaballapura,Multiple Disabilities,80+,2,1,0,3
Karnataka,Chikkaballapura,Multiple Sclerosis,Jun-15,0,1,0,1
Karnataka,Chikkaballapura,Multiple Sclerosis,15-35,0,2,0,2
Karnataka,Chikkaballapura,Multiple Sclerosis,35-60,5,0,0,5
Karnataka,Chikkaballapura,Multiple Sclerosis,60-80,0,0,0,0
Karnataka,Chikkaballapura,Multiple Sclerosis,80+,0,0,0,0
Karnataka,Chikkaballapura,Muscular Dystrophy,Jun-15,5,2,0,7
Karnataka,Chikkaballapura,Muscular Dystrophy,15-35,5,3,0,8
Karnataka,Chikkaballapura,Muscular Dystrophy,35-60,12,4,0,16
Karnataka,Chikkaballapura,Muscular Dystrophy,60-80,6,2,0,8
Karnataka,Chikkaballapura,Parkinson'S Disease,15-35,0,0,0,0
Karnataka,Chikkaballapura,Parkinson'S Disease,35-60,2,2,0,4
Karnataka,Chikkaballapura,Parkinson'S Disease,60-80,0,3,0,3
Karnataka,Chikkaballapura,Parkinson'S Disease,80+,1,0,0,1
Karnataka,Chikkaballapura,Sickle Cell Disease,Jun-15,0,0,0,0
Karnataka,Chikkaballapura,Sickle Cell Disease,15-35,1,0,0,1
Karnataka,Chikkaballapura,Sickle Cell Disease,35-60,1,0,0,1
Karnataka,Chikkaballapura,Sickle Cell Disease,60-80,0,0,0,0
Karnataka,Chikkaballapura,Specific Learning Disabilities,Jun-15,0,1,0,1
Karnataka,Chikkaballapura,Specific Learning Disabilities,15-35,3,2,0,5
Karnataka,Chikkaballapura,Specific Learning Disabilities,35-60,3,1,0,4
Karnataka,Chikkaballapura,Specific Learning Disabilities,60-80,2,0,0,2
Karnataka,Chikkaballapura,Speech And Language Disability,0-6,0,2,0,2
Karnataka,Chikkaballapura,Speech And Language Disability,Jun-15,12,13,0,25
Karnataka,Chikkaballapura,Speech And Language Disability,15-35,39,28,0,67
Karnataka,Chikkaballapura,Speech And Language Disability,35-60,49,30,0,79
Karnataka,Chikkaballapura,Speech And Language Disability,60-80,15,6,0,21
Karnataka,Chikkaballapura,Speech And Language Disability,80+,1,0,0,1
Karnataka,Chikkaballapura,Thalassemia,Jun-15,1,1,0,2
Karnataka,Chikkaballapura,Thalassemia,15-35,5,2,0,7
Karnataka,Chikkaballapura,Thalassemia,35-60,0,3,0,3
Karnataka,Chikkaballapura,Thalassemia,60-80,0,0,0,0
Karnataka,Chikkamagaluru,Acid Attack Victim,Jun-15,0,0,0,0
Karnataka,Chikkamagaluru,Acid Attack Victim,15-35,1,3,0,4
Karnataka,Chikkamagaluru,Acid Attack Victim,35-60,4,11,0,15
Karnataka,Chikkamagaluru,Acid Attack Victim,60-80,2,0,0,2
Karnataka,Chikkamagaluru,Autism Spectrum Disorder,0-6,1,1,0,2
Karnataka,Chikkamagaluru,Autism Spectrum Disorder,Jun-15,15,5,0,20
Karnataka,Chikkamagaluru,Autism Spectrum Disorder,15-35,9,3,0,12
Karnataka,Chikkamagaluru,Autism Spectrum Disorder,35-60,14,8,0,22
Karnataka,Chikkamagaluru,Autism Spectrum Disorder,60-80,9,1,0,10
Karnataka,Chikkamagaluru,Autism Spectrum Disorder,80+,0,0,0,0
Karnataka,Chikkamagaluru,Blindness,0-6,4,2,0,6
Karnataka,Chikkamagaluru,Blindness,Jun-15,23,21,0,44
Karnataka,Chikkamagaluru,Blindness,15-35,212,139,0,351
Karnataka,Chikkamagaluru,Blindness,35-60,488,365,0,853
Karnataka,Chikkamagaluru,Blindness,60-80,259,125,0,384
Karnataka,Chikkamagaluru,Blindness,80+,25,14,0,39
Karnataka,Chikkamagaluru,Cerebral Palsy,0-6,6,5,0,11
Karnataka,Chikkamagaluru,Cerebral Palsy,Jun-15,38,15,0,53
Karnataka,Chikkamagaluru,Cerebral Palsy,15-35,62,45,0,107
Karnataka,Chikkamagaluru,Cerebral Palsy,35-60,31,25,0,56
Karnataka,Chikkamagaluru,Cerebral Palsy,60-80,10,4,0,14
Karnataka,Chikkamagaluru,Chronic Neurological Conditions,0-6,0,1,0,1
Karnataka,Chikkamagaluru,Chronic Neurological Conditions,Jun-15,5,5,0,10
Karnataka,Chikkamagaluru,Chronic Neurological Conditions,15-35,10,7,0,17
Karnataka,Chikkamagaluru,Chronic Neurological Conditions,35-60,198,47,0,245
Karnataka,Chikkamagaluru,Chronic Neurological Conditions,60-80,71,14,0,85
Karnataka,Chikkamagaluru,Chronic Neurological Conditions,80+,2,0,0,2
Karnataka,Chikkamagaluru,Dwarfism,Jun-15,1,1,0,2
Karnataka,Chikkamagaluru,Dwarfism,15-35,10,24,0,34
Karnataka,Chikkamagaluru,Dwarfism,35-60,17,19,0,36
Karnataka,Chikkamagaluru,Dwarfism,60-80,1,6,0,7
Karnataka,Chikkamagaluru,Hearing Impairment,0-6,2,7,0,9
Karnataka,Chikkamagaluru,Hearing Impairment,Jun-15,75,70,0,145
Karnataka,Chikkamagaluru,Hearing Impairment,15-35,227,211,0,438
Karnataka,Chikkamagaluru,Hearing Impairment,35-60,413,439,0,852
Karnataka,Chikkamagaluru,Hearing Impairment,60-80,254,126,0,380
Karnataka,Chikkamagaluru,Hearing Impairment,80+,31,14,0,45
Karnataka,Chikkamagaluru,Hemophilia,0-6,1,0,0,1
Karnataka,Chikkamagaluru,Hemophilia,Jun-15,3,2,0,5
Karnataka,Chikkamagaluru,Hemophilia,15-35,5,1,0,6
Karnataka,Chikkamagaluru,Hemophilia,35-60,8,6,0,14
Karnataka,Chikkamagaluru,Hemophilia,60-80,10,0,0,10
Karnataka,Chikkamagaluru,Hemophilia,80+,1,0,0,1
Karnataka,Chikkamagaluru,Intellectual Disability,0-6,17,6,0,23
Karnataka,Chikkamagaluru,Intellectual Disability,Jun-15,192,127,0,319
Karnataka,Chikkamagaluru,Intellectual Disability,15-35,461,331,1,793
Karnataka,Chikkamagaluru,Intellectual Disability,35-60,261,208,2,471
Karnataka,Chikkamagaluru,Intellectual Disability,60-80,32,15,0,47
Karnataka,Chikkamagaluru,Intellectual Disability,80+,2,0,0,2
Karnataka,Chikkamagaluru,Leprosy Cured,0-6,0,0,0,0
Karnataka,Chikkamagaluru,Leprosy Cured,Jun-15,0,0,0,0
Karnataka,Chikkamagaluru,Leprosy Cured,15-35,1,1,0,2
Karnataka,Chikkamagaluru,Leprosy Cured,35-60,4,3,0,7
Karnataka,Chikkamagaluru,Leprosy Cured,60-80,3,0,0,3
Karnataka,Chikkamagaluru,Leprosy Cured,80+,0,1,0,1
Karnataka,Chikkamagaluru,Locomotor Disability,0-6,14,9,0,23
Karnataka,Chikkamagaluru,Locomotor Disability,Jun-15,191,112,0,303
Karnataka,Chikkamagaluru,Locomotor Disability,15-35,897,533,0,1430
Karnataka,Chikkamagaluru,Locomotor Disability,35-60,3078,1598,1,4677
Karnataka,Chikkamagaluru,Locomotor Disability,60-80,1337,599,0,1936
Karnataka,Chikkamagaluru,Locomotor Disability,80+,96,46,0,142
Karnataka,Chikkamagaluru,Low Vision,Jun-15,15,9,0,24
Karnataka,Chikkamagaluru,Low Vision,15-35,89,52,0,141
Karnataka,Chikkamagaluru,Low Vision,35-60,124,66,0,190
Karnataka,Chikkamagaluru,Low Vision,60-80,45,18,0,63
Karnataka,Chikkamagaluru,Low Vision,80+,6,2,0,8
Karnataka,Chikkamagaluru,Mental Illness,0-6,1,0,0,1
Karnataka,Chikkamagaluru,Mental Illness,Jun-15,23,20,0,43
Karnataka,Chikkamagaluru,Mental Illness,15-35,117,103,0,220
Karnataka,Chikkamagaluru,Mental Illness,35-60,154,116,0,270
Karnataka,Chikkamagaluru,Mental Illness,60-80,17,26,0,43
Karnataka,Chikkamagaluru,Multiple Disabilities,0-6,8,2,0,10
Karnataka,Chikkamagaluru,Multiple Disabilities,Jun-15,77,42,0,119
Karnataka,Chikkamagaluru,Multiple Disabilities,15-35,257,192,0,449
Karnataka,Chikkamagaluru,Multiple Disabilities,35-60,275,175,0,450
Karnataka,Chikkamagaluru,Multiple Disabilities,60-80,117,48,1,166
Karnataka,Chikkamagaluru,Multiple Disabilities,80+,5,8,0,13
Karnataka,Chikkamagaluru,Multiple Sclerosis,Jun-15,1,1,0,2
Karnataka,Chikkamagaluru,Multiple Sclerosis,15-35,4,2,0,6
Karnataka,Chikkamagaluru,Multiple Sclerosis,35-60,10,7,0,17
Karnataka,Chikkamagaluru,Multiple Sclerosis,60-80,2,0,0,2
Karnataka,Chikkamagaluru,Multiple Sclerosis,80+,0,0,0,0
Karnataka,Chikkamagaluru,Muscular Dystrophy,0-6,0,0,0,0
Karnataka,Chikkamagaluru,Muscular Dystrophy,Jun-15,3,2,0,5
Karnataka,Chikkamagaluru,Muscular Dystrophy,15-35,15,12,0,27
Karnataka,Chikkamagaluru,Muscular Dystrophy,35-60,23,18,0,41
Karnataka,Chikkamagaluru,Muscular Dystrophy,60-80,14,8,0,22
Karnataka,Chikkamagaluru,Muscular Dystrophy,80+,1,0,0,1
Karnataka,Chikkamagaluru,Parkinson'S Disease,15-35,1,1,0,2
Karnataka,Chikkamagaluru,Parkinson'S Disease,35-60,8,5,0,13
Karnataka,Chikkamagaluru,Parkinson'S Disease,60-80,6,3,0,9
Karnataka,Chikkamagaluru,Parkinson'S Disease,80+,0,0,0,0
Karnataka,Chikkamagaluru,Sickle Cell Disease,Jun-15,1,0,0,1
Karnataka,Chikkamagaluru,Sickle Cell Disease,15-35,1,0,0,1
Karnataka,Chikkamagaluru,Sickle Cell Disease,35-60,1,1,0,2
Karnataka,Chikkamagaluru,Sickle Cell Disease,60-80,0,1,0,1
Karnataka,Chikkamagaluru,Specific Learning Disabilities,Jun-15,0,0,0,0
Karnataka,Chikkamagaluru,Specific Learning Disabilities,15-35,2,3,0,5
Karnataka,Chikkamagaluru,Specific Learning Disabilities,35-60,0,0,0,0
Karnataka,Chikkamagaluru,Speech And Language Disability,Jun-15,5,8,0,13
Karnataka,Chikkamagaluru,Speech And Language Disability,15-35,32,18,0,50
Karnataka,Chikkamagaluru,Speech And Language Disability,35-60,39,25,0,64
Karnataka,Chikkamagaluru,Speech And Language Disability,60-80,9,5,0,14
Karnataka,Chikkamagaluru,Speech And Language Disability,80+,0,0,0,0
Karnataka,Chikkamagaluru,Thalassemia,0-6,0,1,0,1
Karnataka,Chikkamagaluru,Thalassemia,Jun-15,9,7,0,16
Karnataka,Chikkamagaluru,Thalassemia,15-35,10,6,0,16
Karnataka,Chikkamagaluru,Thalassemia,35-60,1,0,0,1
Karnataka,Chikkamagaluru,Thalassemia,60-80,0,0,0,0
Karnataka,Chitradurga,Acid Attack Victim,Jun-15,1,1,0,2
Karnataka,Chitradurga,Acid Attack Victim,15-35,0,2,0,2
Karnataka,Chitradurga,Acid Attack Victim,35-60,5,6,0,11
Karnataka,Chitradurga,Acid Attack Victim,60-80,3,1,0,4
Karnataka,Chitradurga,Acid Attack Victim,80+,1,0,0,1
Karnataka,Chitradurga,Autism Spectrum Disorder,0-6,0,0,0,0
Karnataka,Chitradurga,Autism Spectrum Disorder,Jun-15,0,0,0,0
Karnataka,Chitradurga,Autism Spectrum Disorder,15-35,1,0,0,1
Karnataka,Chitradurga,Autism Spectrum Disorder,35-60,4,3,0,7
Karnataka,Chitradurga,Autism Spectrum Disorder,60-80,0,0,0,0
Karnataka,Chitradurga,Blindness,0-6,5,0,0,5
Karnataka,Chitradurga,Blindness,Jun-15,68,46,0,114
Karnataka,Chitradurga,Blindness,15-35,472,365,1,838
Karnataka,Chitradurga,Blindness,35-60,1189,1021,0,2210
Karnataka,Chitradurga,Blindness,60-80,391,206,0,597
Karnataka,Chitradurga,Blindness,80+,30,22,0,52
Karnataka,Chitradurga,Cerebral Palsy,0-6,17,12,0,29
Karnataka,Chitradurga,Cerebral Palsy,Jun-15,64,63,0,127
Karnataka,Chitradurga,Cerebral Palsy,15-35,90,54,0,144
Karnataka,Chitradurga,Cerebral Palsy,35-60,25,30,0,55
Karnataka,Chitradurga,Cerebral Palsy,60-80,10,3,0,13
Karnataka,Chitradurga,Chronic Neurological Conditions,0-6,0,0,0,0
Karnataka,Chitradurga,Chronic Neurological Conditions,Jun-15,2,1,0,3
Karnataka,Chitradurga,Chronic Neurological Conditions,15-35,7,5,0,12
Karnataka,Chitradurga,Chronic Neurological Conditions,35-60,12,6,0,18
Karnataka,Chitradurga,Chronic Neurological Conditions,60-80,4,1,0,5
Karnataka,Chitradurga,Chronic Neurological Conditions,80+,0,0,0,0
Karnataka,Chitradurga,Dwarfism,Jun-15,5,6,0,11
Karnataka,Chitradurga,Dwarfism,15-35,25,43,0,68
Karnataka,Chitradurga,Dwarfism,35-60,25,24,0,49
Karnataka,Chitradurga,Dwarfism,60-80,4,1,0,5
Karnataka,Chitradurga,Hearing Impairment,0-6,16,10,0,26
Karnataka,Chitradurga,Hearing Impairment,Jun-15,201,196,0,397
Karnataka,Chitradurga,Hearing Impairment,15-35,907,681,0,1588
Karnataka,Chitradurga,Hearing Impairment,35-60,1615,1617,0,3232
Karnataka,Chitradurga,Hearing Impairment,60-80,674,324,1,999
Karnataka,Chitradurga,Hearing Impairment,80+,99,14,0,113
Karnataka,Chitradurga,Hemophilia,0-6,0,0,0,0
Karnataka,Chitradurga,Hemophilia,Jun-15,6,2,0,8
Karnataka,Chitradurga,Hemophilia,15-35,15,4,0,19
Karnataka,Chitradurga,Hemophilia,35-60,7,5,0,12
Karnataka,Chitradurga,Hemophilia,60-80,8,1,0,9
Karnataka,Chitradurga,Intellectual Disability,0-6,6,1,0,7
Karnataka,Chitradurga,Intellectual Disability,Jun-15,247,157,0,404
Karnataka,Chitradurga,Intellectual Disability,15-35,336,261,0,597
Karnataka,Chitradurga,Intellectual Disability,35-60,102,83,0,185
Karnataka,Chitradurga,Intellectual Disability,60-80,12,8,0,20
Karnataka,Chitradurga,Intellectual Disability,80+,0,1,0,1
Karnataka,Chitradurga,Leprosy Cured,0-6,0,1,0,1
Karnataka,Chitradurga,Leprosy Cured,Jun-15,2,0,0,2
Karnataka,Chitradurga,Leprosy Cured,15-35,3,0,0,3
Karnataka,Chitradurga,Leprosy Cured,35-60,10,3,0,13
Karnataka,Chitradurga,Leprosy Cured,60-80,6,1,0,7
Karnataka,Chitradurga,Leprosy Cured,80+,0,1,0,1
Karnataka,Chitradurga,Locomotor Disability,0-6,49,35,0,84
Karnataka,Chitradurga,Locomotor Disability,Jun-15,557,322,0,879
Karnataka,Chitradurga,Locomotor Disability,15-35,1894,1199,0,3093
Karnataka,Chitradurga,Locomotor Disability,35-60,4780,2238,3,7021
Karnataka,Chitradurga,Locomotor Disability,60-80,1429,454,0,1883
Karnataka,Chitradurga,Locomotor Disability,80+,88,27,0,115
Karnataka,Chitradurga,Low Vision,0-6,4,3,0,7
Karnataka,Chitradurga,Low Vision,Jun-15,181,140,0,321
Karnataka,Chitradurga,Low Vision,15-35,876,681,0,1557
Karnataka,Chitradurga,Low Vision,35-60,1689,1499,0,3188
Karnataka,Chitradurga,Low Vision,60-80,419,219,1,639
Karnataka,Chitradurga,Low Vision,80+,17,8,0,25
Karnataka,Chitradurga,Mental Illness,0-6,2,0,0,2
Karnataka,Chitradurga,Mental Illness,Jun-15,52,37,0,89
Karnataka,Chitradurga,Mental Illness,15-35,350,214,0,564
Karnataka,Chitradurga,Mental Illness,35-60,235,178,0,413
Karnataka,Chitradurga,Mental Illness,60-80,24,16,0,40
Karnataka,Chitradurga,Multiple Disabilities,0-6,5,2,0,7
Karnataka,Chitradurga,Multiple Disabilities,Jun-15,63,54,0,117
Karnataka,Chitradurga,Multiple Disabilities,15-35,114,88,0,202
Karnataka,Chitradurga,Multiple Disabilities,35-60,156,83,0,239
Karnataka,Chitradurga,Multiple Disabilities,60-80,49,11,0,60
Karnataka,Chitradurga,Multiple Disabilities,80+,4,2,0,6
Karnataka,Chitradurga,Multiple Sclerosis,0-6,2,0,0,2
Karnataka,Chitradurga,Multiple Sclerosis,Jun-15,4,2,0,6
Karnataka,Chitradurga,Multiple Sclerosis,15-35,9,7,0,16
Karnataka,Chitradurga,Multiple Sclerosis,35-60,17,5,0,22
Karnataka,Chitradurga,Multiple Sclerosis,60-80,5,0,0,5
Karnataka,Chitradurga,Muscular Dystrophy,Jun-15,8,3,0,11
Karnataka,Chitradurga,Muscular Dystrophy,15-35,30,12,0,42
Karnataka,Chitradurga,Muscular Dystrophy,35-60,35,14,0,49
Karnataka,Chitradurga,Muscular Dystrophy,60-80,9,8,0,17
Karnataka,Chitradurga,Parkinson'S Disease,15-35,3,0,0,3
Karnataka,Chitradurga,Parkinson'S Disease,35-60,10,2,0,12
Karnataka,Chitradurga,Parkinson'S Disease,60-80,2,3,0,5
Karnataka,Chitradurga,Parkinson'S Disease,80+,0,0,0,0
Karnataka,Chitradurga,Sickle Cell Disease,15-35,1,1,0,2
Karnataka,Chitradurga,Sickle Cell Disease,35-60,0,0,0,0
Karnataka,Chitradurga,Specific Learning Disabilities,Jun-15,3,0,0,3
Karnataka,Chitradurga,Specific Learning Disabilities,15-35,17,12,0,29
Karnataka,Chitradurga,Specific Learning Disabilities,35-60,10,7,0,17
Karnataka,Chitradurga,Specific Learning Disabilities,60-80,4,6,0,10
Karnataka,Chitradurga,Specific Learning Disabilities,80+,1,0,0,1
Karnataka,Chitradurga,Speech And Language Disability,0-6,2,0,0,2
Karnataka,Chitradurga,Speech And Language Disability,Jun-15,53,47,0,100
Karnataka,Chitradurga,Speech And Language Disability,15-35,118,77,0,195
Karnataka,Chitradurga,Speech And Language Disability,35-60,104,50,0,154
Karnataka,Chitradurga,Speech And Language Disability,60-80,16,4,0,20
Karnataka,Chitradurga,Speech And Language Disability,80+,2,1,0,3
Karnataka,Chitradurga,Thalassemia,0-6,1,4,0,5
Karnataka,Chitradurga,Thalassemia,Jun-15,9,9,0,18
Karnataka,Chitradurga,Thalassemia,15-35,5,6,0,11
Karnataka,Chitradurga,Thalassemia,35-60,2,2,0,4
Karnataka,Dakshina Kannada,Acid Attack Victim,15-35,1,0,0,1
Karnataka,Dakshina Kannada,Acid Attack Victim,35-60,0,0,0,0
Karnataka,Dakshina Kannada,Autism Spectrum Disorder,0-6,2,0,0,2
Karnataka,Dakshina Kannada,Autism Spectrum Disorder,Jun-15,52,19,0,71
Karnataka,Dakshina Kannada,Autism Spectrum Disorder,15-35,28,6,0,34
Karnataka,Dakshina Kannada,Autism Spectrum Disorder,35-60,1,1,0,2
Karnataka,Dakshina Kannada,Blindness,0-6,2,0,0,2
Karnataka,Dakshina Kannada,Blindness,Jun-15,18,15,0,33
Karnataka,Dakshina Kannada,Blindness,15-35,120,67,0,187
Karnataka,Dakshina Kannada,Blindness,35-60,292,189,0,481
Karnataka,Dakshina Kannada,Blindness,60-80,188,121,0,309
Karnataka,Dakshina Kannada,Blindness,80+,8,3,0,11
Karnataka,Dakshina Kannada,Cerebral Palsy,0-6,4,5,0,9
Karnataka,Dakshina Kannada,Cerebral Palsy,Jun-15,82,68,0,150
Karnataka,Dakshina Kannada,Cerebral Palsy,15-35,218,133,0,351
Karnataka,Dakshina Kannada,Cerebral Palsy,35-60,143,94,0,237
Karnataka,Dakshina Kannada,Cerebral Palsy,60-80,21,17,0,38
Karnataka,Dakshina Kannada,Cerebral Palsy,80+,0,1,0,1
Karnataka,Dakshina Kannada,Chronic Neurological Conditions,0-6,4,5,0,9
Karnataka,Dakshina Kannada,Chronic Neurological Conditions,Jun-15,17,14,0,31
Karnataka,Dakshina Kannada,Chronic Neurological Conditions,15-35,44,21,0,65
Karnataka,Dakshina Kannada,Chronic Neurological Conditions,35-60,399,112,0,511
Karnataka,Dakshina Kannada,Chronic Neurological Conditions,60-80,251,65,0,316
Karnataka,Dakshina Kannada,Chronic Neurological Conditions,80+,11,1,0,12
Karnataka,Dakshina Kannada,Dwarfism,Jun-15,4,5,0,9
Karnataka,Dakshina Kannada,Dwarfism,15-35,17,24,0,41
Karnataka,Dakshina Kannada,Dwarfism,35-60,33,37,0,70
Karnataka,Dakshina Kannada,Dwarfism,60-80,5,9,0,14
Karnataka,Dakshina Kannada,Hearing Impairment,0-6,8,9,0,17
Karnataka,Dakshina Kannada,Hearing Impairment,Jun-15,86,94,0,180
Karnataka,Dakshina Kannada,Hearing Impairment,15-35,385,298,1,684
Karnataka,Dakshina Kannada,Hearing Impairment,35-60,618,578,0,1196
Karnataka,Dakshina Kannada,Hearing Impairment,60-80,327,234,0,561
Karnataka,Dakshina Kannada,Hearing Impairment,80+,43,13,0,56
Karnataka,Dakshina Kannada,Hemophilia,Jun-15,3,0,0,3
Karnataka,Dakshina Kannada,Hemophilia,15-35,20,0,0,20
Karnataka,Dakshina Kannada,Hemophilia,35-60,6,3,0,9
Karnataka,Dakshina Kannada,Hemophilia,60-80,5,1,0,6
Karnataka,Dakshina Kannada,Hemophilia,80+,0,0,0,0
Karnataka,Dakshina Kannada,Intellectual Disability,0-6,14,1,0,15
Karnataka,Dakshina Kannada,Intellectual Disability,Jun-15,609,368,0,977
Karnataka,Dakshina Kannada,Intellectual Disability,15-35,2158,1339,0,3497
Karnataka,Dakshina Kannada,Intellectual Disability,35-60,799,725,0,1524
Karnataka,Dakshina Kannada,Intellectual Disability,60-80,63,61,0,124
Karnataka,Dakshina Kannada,Intellectual Disability,80+,0,4,0,4
Karnataka,Dakshina Kannada,Leprosy Cured,15-35,0,0,0,0
Karnataka,Dakshina Kannada,Leprosy Cured,35-60,8,5,0,13
Karnataka,Dakshina Kannada,Leprosy Cured,60-80,6,5,0,11
Karnataka,Dakshina Kannada,Leprosy Cured,80+,0,4,0,4
Karnataka,Dakshina Kannada,Locomotor Disability,0-6,17,8,0,25
Karnataka,Dakshina Kannada,Locomotor Disability,Jun-15,183,155,0,338
Karnataka,Dakshina Kannada,Locomotor Disability,15-35,734,479,0,1213
Karnataka,Dakshina Kannada,Locomotor Disability,35-60,2971,1420,1,4392
Karnataka,Dakshina Kannada,Locomotor Disability,60-80,1589,614,0,2203
Karnataka,Dakshina Kannada,Locomotor Disability,80+,96,33,0,129
Karnataka,Dakshina Kannada,Low Vision,Jun-15,43,22,0,65
Karnataka,Dakshina Kannada,Low Vision,15-35,193,123,0,316
Karnataka,Dakshina Kannada,Low Vision,35-60,261,154,0,415
Karnataka,Dakshina Kannada,Low Vision,60-80,145,68,0,213
Karnataka,Dakshina Kannada,Low Vision,80+,11,3,0,14
Karnataka,Dakshina Kannada,Mental Illness,Jun-15,9,9,0,18
Karnataka,Dakshina Kannada,Mental Illness,15-35,100,61,0,161
Karnataka,Dakshina Kannada,Mental Illness,35-60,249,212,0,461
Karnataka,Dakshina Kannada,Mental Illness,60-80,59,49,0,108
Karnataka,Dakshina Kannada,Mental Illness,80+,1,4,0,5
Karnataka,Dakshina Kannada,Multiple Disabilities,0-6,9,9,0,18
Karnataka,Dakshina Kannada,Multiple Disabilities,Jun-15,168,110,0,278
Karnataka,Dakshina Kannada,Multiple Disabilities,15-35,316,202,0,518
Karnataka,Dakshina Kannada,Multiple Disabilities,35-60,218,124,0,342
Karnataka,Dakshina Kannada,Multiple Disabilities,60-80,81,19,0,100
Karnataka,Dakshina Kannada,Multiple Disabilities,80+,6,1,0,7
Karnataka,Dakshina Kannada,Multiple Sclerosis,Jun-15,1,0,0,1
Karnataka,Dakshina Kannada,Multiple Sclerosis,15-35,0,2,0,2
Karnataka,Dakshina Kannada,Multiple Sclerosis,35-60,3,1,0,4
Karnataka,Dakshina Kannada,Multiple Sclerosis,60-80,0,0,0,0
Karnataka,Dakshina Kannada,Muscular Dystrophy,0-6,1,1,0,2
Karnataka,Dakshina Kannada,Muscular Dystrophy,Jun-15,12,0,0,12
Karnataka,Dakshina Kannada,Muscular Dystrophy,15-35,25,7,0,32
Karnataka,Dakshina Kannada,Muscular Dystrophy,35-60,21,10,0,31
Karnataka,Dakshina Kannada,Muscular Dystrophy,60-80,5,1,0,6
Karnataka,Dakshina Kannada,Muscular Dystrophy,80+,1,0,0,1
Karnataka,Dakshina Kannada,Parkinson'S Disease,35-60,12,7,0,19
Karnataka,Dakshina Kannada,Parkinson'S Disease,60-80,20,3,0,23
Karnataka,Dakshina Kannada,Parkinson'S Disease,80+,0,1,0,1
Karnataka,Dakshina Kannada,Sickle Cell Disease,15-35,1,0,0,1
Karnataka,Dakshina Kannada,Sickle Cell Disease,35-60,0,0,0,0
Karnataka,Dakshina Kannada,Sickle Cell Disease,60-80,0,0,0,0
Karnataka,Dakshina Kannada,Specific Learning Disabilities,Jun-15,0,0,0,0
Karnataka,Dakshina Kannada,Specific Learning Disabilities,15-35,1,1,0,2
